mun_id;drs_desc;mun_desc_sem_acentuacao;mun_desc;nome_fig;wiki;coordenadas;url_bandeira;prefeitura
3500105;DRS 09 - Marília;Adamantina;Adamantina;3500105_Adamantina;https://pt.wikipedia.org/wiki/Adamantina;-21.685, -51.072778;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500105_Adamantina.jpg;
3500204;DRS 15 - São José do Rio Preto;Adolfo;Adolfo;3500204_Adolfo;https://pt.wikipedia.org/wiki/Adolfo_(S%C3%A3o_Paulo);-21.235, -49.643889;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500204_Adolfo.jpg;
3500303;DRS 14 - São João da Boa Vista;Aguai;Aguaí;3500303_Aguaí;https://pt.wikipedia.org/wiki/Agua%C3%AD;-22.058889, -46.978889;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500303_Aguai.png;
3500402;DRS 14 - São João da Boa Vista;Aguas da Prata;Águas da Prata;3500402_Águas da Prata;https://pt.wikipedia.org/wiki/%C3%81guas_da_Prata;-21.936944, -46.716944;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500402_Águas da Prata.jpg;
3500501;DRS 07 - Campinas;Aguas de Lindoia;Águas de Lindóia;3500501_Águas de Lindóia;https://pt.wikipedia.org/wiki/%C3%81guas_de_Lind%C3%B3ia;-22.475833, -46.632778;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500501_Águas de Lindóia.jpg;
3500550;DRS 06 - Bauru;Aguas de Santa Barbara;Águas de Santa Bárbara;3500550_Águas de Santa Bárbara;https://pt.wikipedia.org/wiki/%C3%81guas_de_Santa_B%C3%A1rbara;-22.880833, -49.238889;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500550_Águas de Santa Bárbara.png;
3500600;DRS 10 - Piracicaba;Aguas de Sao Pedro;Águas de São Pedro;3500600_Águas de São Pedro;https://pt.wikipedia.org/wiki/%C3%81guas_de_S%C3%A3o_Pedro;-22.598889, -47.875833;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500600_Águas de São Pedro.png;
3500709;DRS 06 - Bauru;Agudos;Agudos;3500709_Agudos;https://pt.wikipedia.org/wiki/Agudos;-22.468889, -48.987778;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500709_Agudos.jpg;
3500758;DRS 16 - Sorocaba;Alambari;Alambari;3500758_Alambari;https://pt.wikipedia.org/wiki/Alambari;-23.550833, -47.898889;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500758_Alambari.jpg;
3500808;DRS 11 - Presidente Prudente;Alfredo Marcondes;Alfredo Marcondes;3500808_Alfredo Marcondes;https://pt.wikipedia.org/wiki/Alfredo_Marcondes;-21.955, -51.412778;https://raw.githubusercontent.com/cristiano-silva-0182/bandeiras/main/3500808_Alfredo Marcondes.png;
